股名,日期,成交股數,淨收付,成交單價,成交價金,手續費,交易稅,稅款,委託書號,幣別,備註
"技嘉","2026/04/13","30","7,894","264","7,920","3","23","0","k0cVe","台幣",""
"南亞科","2026/04/13","10","-2,216","221.5","2,215","1","0","0","k0RSD","台幣",""
"鎰勝","2026/04/13","100","4,720","47.35","4,735","1","14","0","k0WfH","台幣",""
"環球晶","2026/04/13","15","7,431","497","7,455","2","22","0","k0II6","台幣",""
"環球晶","2026/04/13","30","14,741","493","14,790","5","44","0","k0KHc","台幣",""
"環球晶","2026/04/13","15","7,401","495","7,425","2","22","0","k0KR7","台幣",""
"台積電","2026/04/10","1","1,974","1980","1,980","1","5","0","k0PKF","台幣",""
"技嘉","2026/04/10","30","7,774","260","7,800","3","23","0","k0PB6","台幣",""
"瑞昱","2026/04/10","5","2,527","507","2,535","1","7","0","k0P3y","台幣",""
"瑞昱","2026/04/10","5","2,532","508","2,540","1","7","0","k0P6j","台幣",""
"廣達","2026/04/10","10","3,240","325","3,250","1","9","0","k0KPr","台幣",""
"中美晶","2026/04/10","60","7,207","120.5","7,230","2","21","0","k0NyE","台幣",""
"力成","2026/04/10","5","1,081","217","1,085","1","3","0","k02up","台幣",""
"環球晶","2026/04/10","26","12,684","489.5","12,727","5","38","0","k0KiB","台幣",""
"環球晶","2026/04/10","112","54,918","492","55,104","21","165","0","k0Kta","台幣",""
"元太","2026/04/10","35","-5,042","144","5,040","2","0","0","k0KY5","台幣",""
"由田","2026/04/09","1,000","181,881","182.5","182,500","72","547","0","B0995","台幣",""
"廣達","2026/04/08","15","4,486","300","4,500","1","13","0","k07nR","台幣",""
"聯發科","2026/04/08","10","-15,106","1510","15,100","6","0","0","k08K6","台幣",""
"由田","2026/04/08","50","8,347","167.5","8,375","3","25","0","k03Ug","台幣",""
"由田","2026/04/08","100","16,694","167.5","16,750","6","50","0","k06Wc","台幣",""
"國泰永續高股息","2026/04/07","225","-4,998","22.21","4,997","1","0","0","p0KvU","台幣",""
"由田","2026/04/07","100","15,199","152.5","15,250","6","45","0","k05Gp","台幣",""
"由田","2026/04/07","50","7,600","152.5","7,625","3","22","0","k088c","台幣",""
"鴻海","2026/04/02","2","-388","193.5","387","1","0","0","k0ISN","台幣",""
"聯發科","2026/04/02","2","-2,931","1465","2,930","1","0","0","k0B3s","台幣",""
"聯發科","2026/04/02","1","-1,461","1460","1,460","1","0","0","k0B5n","台幣",""
"聯發科","2026/04/02","1","-1,466","1465","1,465","1","0","0","k0B8E","台幣",""
"聯發科","2026/04/02","1","-1,476","1475","1,475","1","0","0","k0BLp","台幣",""
"由田","2026/04/02","100","13,854","139","13,900","5","41","0","k07sh","台幣",""
"由田","2026/04/02","100","13,854","139","13,900","5","41","0","k0TSX","台幣",""
"由田","2026/04/02","50","6,928","139","6,950","2","20","0","k0aiD","台幣",""
"中美晶","2026/04/02","20","-2,151","107.5","2,150","1","0","0","k06Tg","台幣",""
"中美晶","2026/04/02","50","-5,327","106.5","5,325","2","0","0","k06VX","台幣",""
"中美晶","2026/04/02","10","-1,066","106.5","1,065","1","0","0","k0FBA","台幣",""
"中美晶","2026/04/02","20","-2,141","107","2,140","1","0","0","k0FFY","台幣",""
"環球晶","2026/04/02","20","-8,253","412.5","8,250","3","0","0","k07DG","台幣",""
"環球晶","2026/04/02","30","-12,379","412.5","12,375","4","0","0","k0CXn","台幣",""
"環球晶","2026/04/02","20","-8,243","412","8,240","3","0","0","k0DmW","台幣",""
"環球晶","2026/04/02","20","-8,263","413","8,260","3","0","0","k0Dru","台幣",""
"環球晶","2026/04/02","30","-12,424","414","12,420","4","0","0","k0DuD","台幣",""
"環球晶","2026/04/02","5","-2,048","409.5","2,047","1","0","0","k0J8E","台幣",""
"環球晶","2026/04/02","3","-1,228","409","1,227","1","0","0","k0J9K","台幣",""
"鴻海","2026/04/01","20","-3,941","197","3,940","1","0","0","k0SBH","台幣",""
"鴻海","2026/04/01","10","1,964","197","1,970","1","5","0","k0SUK","台幣",""
"聯發科","2026/04/01","4","-6,002","1500","6,000","2","0","0","k0Kpa","台幣",""
"中美晶","2026/04/01","20","-2,141","107","2,140","1","0","0","k0I5P","台幣",""
"環球晶","2026/04/01","10","-4,126","412.5","4,125","1","0","0","k0I0y","台幣",""
"環球晶","2026/04/01","70","-29,026","414.5","29,015","11","0","0","k0KZ6","台幣",""
"環球晶","2026/04/01","30","-12,364","412","12,360","4","0","0","k0L8R","台幣",""